AVSOLGBUADYZAD-UHFFFAOYSA-N,C1C2CC3CC1CC(C2)(C3)CCOC(=O)C4=CN=CC=C4,64458,2:8|3:3|4:1|77:1|38:1
KWFVZAJQUSRMCC-HAGHYFMRSA-N,C1=CC2=C3C(=C1)C=CC4=C3C(=CC5=C4[C@@H]([C@@H]([C@@H]([C@H]5O)O)O)O)C=C2,24835369,9:8|10:6|3:2|13:2|14:4
XIWCAVKLPUJHOO-UHFFFAOYSA-N,CC(CCCC1(C2CCC(C2)C1=C)C)CO,118145,1:2|2:7|3:3|4:1|7:1|14:1
OPTDDWCXQQYKGU-UHFFFAOYSA-N,C1=CC=C(C=C1)C(C2=CC=CC=C2)(Cl)Cl,16327,9:10|10:2|49:1
SLEFTKLOPXRYKJ-HGYULPIXSA-N,CCCCOC(=O)/C=C/C(=O)O.C1CCC(CC1)OC(=O)/C=C/C(=O)O,6437498,1:1|2:8|3:1|6:2|42:2|77:2
KZJWDPNRJALLNS-FBZNIEFRSA-N,CC[C@@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(C)C,457801,1:6|2:11|3:8|4:2|8:1|14:1
YJWGKXIQTRYZSH-UHFFFAOYSA-N,C1=CC(=C(C=C1I)I)N,350250,9:3|10:2|36:1|63:2
PLHJCCHSCFNKCC-UHFFFAOYSA-N,CCC(C)C#C,136704,1:2|2:1|3:1|65:1
GSYSNSTWMPZEQK-UHFFFAOYSA-N,CCCCC1=CN=C(C=C1)C,69704,1:2|2:3|39:1
KMVHSWCLZXSNEN-UHFFFAOYSA-N,CCOC(CCC=CC)OCC,106531,1:3|2:2|3:1|6:1|25:2
ZQGJEUVBUVKZKS-UHFFFAOYSA-N,CC(C)(C)NC,84552,1:3|4:1|31:1
GGYICDQKJLQSFI-UHFFFAOYSA-N,CCOC(C1=CC=C(C=C1)C(C)C)OCC,227895,1:4|25:2|13:2|9:4
BBEAZDGZMVABIC-UHFFFAOYSA-N,C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,19215,2:1|51:2
WXRVWIVUBDOQEU-UHFFFAOYSA-N,CC(C)N1CCCCCCC1,23573827,1:2|2:6|3:1|35:1
RGXIXVNKYUAKHS-UHFFFAOYSA-N,COC1=CCC=CC1,76156,8:1|24:1|2:2|6:1
UYZAUXBNFFFZFA-UHFFFAOYSA-N,C1=CC(=C(C(=C1)Cl)CCO)F,2733235,2:1|71:1|9:3|12:1|14:1|53:1
ZTEGQXPXBLYCGL-UHFFFAOYSA-N,CCC(C1=C(C=C(C=C1)O)O)C(CC)C2=C(C=C(C=C2)O)O,3070086,1:2|2:2|17:4|13:2|9:6
ABZLKKGJOVPBBL-UHFFFAOYSA-N,CCCCCCSCCC,264184,1:2|2:6|103:1
UBVACUZVNTVHTE-SNVBAGLBSA-N,CCCCCCC[C@H](CC(=O)OC)O,10878226,1:2|2:6|3:1|22:1|14:1
XFKPOLRDQWCGPV-UHFFFAOYSA-N,CCCC(C)OCC,102692,1:3|2:2|3:1|25:1
XDWPSGQUCMCJCO-UHFFFAOYSA-N,CC1=C2C3=CC=CC=C3C(=CC2=C(C4=CC=CC=C14)CCl)F,49958,9:9|10:7|11:1|44:1|71:1
JRRHUIUXVVVOQH-UHFFFAOYSA-N,C1CN2CCC1C=C2,139645,35:1|2:3|3:1|6:1
VVMRZYODYMBLRJ-UHFFFAOYSA-N,C1CCC(C1)(C2=CC=C(C=C2)F)C(=O)O,736133,2:4|4:1|71:1|9:4|42:1|10:1
VRTUIPADMRQBPL-AFEZEDKISA-N,CCCCCCCC/C=C\CCCCCCCC(=O)NCCCN(C)C.CC(C(=O)O)O,44148411,96:1|1:3|34:1|3:1|6:1|42:1|2:16|14:1
DCJOHKAKSCTBKS-UHFFFAOYSA-N,CCCCCCCCC1=C(C=C(C(=C1)O)C(=O)CCCCCCC)O,113057,1:2|2:11|9:2|10:1|12:1|17:2|19:1
XINIQAUPXOVUCJ-UHFFFAOYSA-N,CC(C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCCN3CCCC3,3025359,1:1|2:4|35:1|4:1|9:9|10:2|53:1|25:1
CNLYNLSYCPWZQY-UHFFFAOYSA-N,C1=CC2=C(C=CC(=C2)Cl)C=C1O,96496,9:6|10:2|53:1|17:1
SSZACLYPEFCREM-UHFFFAOYSA-N,C1COC(O1)CC2=CC=CC=C2,7562,27:2|9:5|3:1|12:1
FHLZIYNVLQXIAD-UHFFFAOYSA-N,C1CC2C3CC(C=C3)C(C1)C2N,145070,2:4|3:4|30:1|6:1
JIPTZBYHWFNYFB-UHFFFAOYSA-N,CCC(C)CCCCCCCCCC(=O)O,4052642,1:2|2:10|3:1|42:1
YQUVCSBJEUQKSH-UHFFFAOYSA-N,C1=CC(=C(C=C1C(=O)O)O)O,72,9:3|10:1|42:1|17:2
OOWNNCMFKFBNOF-UHFFFAOYSA-N,CC(C)(C)C1=CC=C(C=C1)C(C)(C)C,13895,1:6|10:2|4:2|9:4
DIZHLKGDDLADCI-UHFFFAOYSA-N,CC(C)COC(=C)C(C)C,143418,1:4|3:2|25:1|7:1
ZMCUKNMLHBAGMS-UHFFFAOYSA-N,C1=CC(=CC(=C1)C(Br)Br)C(Br)Br,37418,64:4|9:4|13:2
RISLXYINQFKFRL-UHFFFAOYSA-N,CCCCOC(=O)CCCCCCCC(=O)OCCCC,18016,1:2|2:11|22:2
CWHJIJJSDGEHNS-UHFFFAOYSA-N,CC1(CCC2(CCC3=C(C2C1)C(CC4C3(CCC5C4(CC(C(C5(C)C(=O)O)O)O)C)C)CCl)C(=O)O)C,200662,1:5|2:9|3:6|4:5|70:1|42:2|44:1|14:2
IDDWGDKSBYYEPL-UHFFFAOYSA-N,CCOC(=O)CC(=CC(=O)OCC)C(=O)OCC,111067,8:1|1:3|2:3|77:2|22:1
PQMCFTMVQORYJC-UHFFFAOYSA-N,C1CCC(C(C1)N)O,23286,2:4|3:1|30:1|14:1
OMQRHANPZIOLFM-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCCCCCCCl,12464124,1:1|2:24|44:1
XVIZMMSINIOIQP-UHFFFAOYSA-N,C1=CC=C(C(=C1)C2=C(C(=CC=C2)Cl)Cl)Cl,38032,9:7|10:2|53:3
HWVZBCRVHCPVTE-UHFFFAOYSA-N,C1CCC(=O)OCC1.C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O.C(CCO)CO.C(COCCO)O,6453425,2:10|100:1|9:8|10:3|12:1|109:2|14:3|22:1
YSFZWUJOBANROZ-UHFFFAOYSA-N,CCCCCCCC(C(=O)O)C(=O)O,136574,1:1|2:6|3:1|42:2
MWPLVEDNUUSJAV-LHNTUAQVSA-N,C1=C(C(=C2C(=C3C(=C(C(=C(C3=C(C2=C1)))))))),80291,9:10|10:4
YRCWQPVGYLYSOX-UHFFFAOYSA-N,CNCC(C1=CC=C(C=C1)O)O,7172,2:1|9:4|13:1|14:1|17:1|31:1
SNYRXHULAWEECU-UHFFFAOYSA-N,C1=CC(=C(C=C1OCC(=O)O)Cl)Cl,11495,9:3|10:1|53:2|42:1|25:1
DOCWCRVSOQKFMI-UHFFFAOYSA-N,CC(C)CCCS,521471,1:2|2:2|3:1|60:1
DRGAZIDRYFYHIJ-UHFFFAOYSA-N,C1=CC=NC(=C1)C2=NC(=CC=C2)C3=CC=CC=N3,70848,38:2|39:1
SVONRAPFKPVNKG-UHFFFAOYSA-N,CCOCCOC(=O)C,8095,1:1|2:2|21:1|25:1
UGZLIZPBSLIKKG-UHFFFAOYSA-N,CC1=CC=CC2=C1C=C(C3=CC=CC=C23)C,34454,9:8|10:4|11:2
UNFGQCCHVMMMRF-UHFFFAOYSA-N,CCC(C1=CC=CC=C1)C(=O)N,7011,1:1|2:1|13:1|94:1|9:5
SHJGZTHMRQYWME-UHFFFAOYSA-N,CCCCCC=CCC=CCCCCCCCC(=O)OCCCCCC(C)C,105873,1:3|2:16|3:1|22:1|6:2
MPEFSWGYIJNMCW-UHFFFAOYSA-N,C(C(C(F)(F)F)(F)F)(C(F)(F)F)(C(F)(F)F)F,11679,74:3|75:1|76:1
LOLNQOPVHRAGHR-UHFFFAOYSA-N,CC(=O)OC(CO)C1=CC=CC=C1,112060,9:5|2:1|13:1|14:1|21:1
IAJBQAYHSQIQRE-UHFFFAOYSA-N,COC1=CC(=C(C=C1C=O)OC)OC,20525,24:3|9:2|10:4|20:1
PPPFYBPQAPISCT-UHFFFAOYSA-N,CC(COC(=O)C)O,94182,1:1|2:1|3:1|21:1|14:1
NBTGDHBAHMODDU-UHFFFAOYSA-N,C1=CC=C(C=C1)C(C2=CC=C(C=C2)Br)C(Cl)(Cl)Cl,256063,64:1|9:9|10:2|51:1|13:1
CQDMCVJMVGGZHQ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OCC(CC)(CO)COC(=O)CCCCCCCCCCCCCCCCC,171806,1:3|2:34|4:1|22:2|14:1
JCRIVQIOJSSCQD-UHFFFAOYSA-N,CC(CC1CCCCC1)NC,7558,1:1|2:6|3:2|31:1
UNOQITWAUFOMKI-UHFFFAOYSA-N,CC(C)N[Si](C)(C)NC(C)C,80124,1:6|81:1|33:2
FBCQUCJYYPMKRO-UHFFFAOYSA-N,CC(=C)C(=O)OCC=C,7274,1:1|2:1|5:1|77:1|7:1
WNABMWFLKQEGCP-UHFFFAOYSA-N,C1=C(C=C(C(=C1Br)N)C(=O)O)Br,219491,64:2|9:2|10:3|36:1|42:1
UWEYRJFJVCLAGH-UHFFFAOYSA-N,C12(C(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(C(C(C(C2(F)F)(F)F)(F)F)(F)F)F)F,9386,75:8|76:2
OQIDMHZJNDYZLB-UHFFFAOYSA-N,CC(C)C(CC(=O)OC)(C(=O)OC)O,3016407,1:4|3:1|4:1|77:1|14:1|22:1
QGFSQVPRCWJZQK-UHFFFAOYSA-N,C=CCCCCCCCCO,25612,2:8|5:1|14:1
LQGIXNQCOXNCRP-UHFFFAOYSA-N,CCOC(=O)C(CCN1CCOCC1)(C2=CC=CC=C2)C3=CC=CC=C3,48194,1:1|2:5|35:1|4:1|9:10|10:2|77:1|27:1
IXODJGLAVBPVSW-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)NCC1=CC=CC=C1,220495,96:1|1:1|2:16|10:1|9:5
AVUURMDQMOTMIU-UHFFFAOYSA-N,C1CC2CC1CC2(Cl)Cl,89246,49:1|2:4|3:2
FKRMEMVMXFURIB-UHFFFAOYSA-N,CCCCCCCCCCCCC1=CC(=C(C(=C1)CCl)C)CCl,111624,1:1|2:10|9:2|10:2|11:1|12:1|44:2
KKBHWXKQEGSHGS-UHFFFAOYSA-N,CO[Si](C)(C)C1=CC=C(C=C1)Cl,143891,1:2|9:4|10:1|81:1|53:1|24:1
XFNJVKMNNVCYEK-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC=C2CC(=O)N,6861,9:7|10:2|12:1|94:1
RKORKXFKXYYHAQ-UHFFFAOYSA-N,C1=CC(=CC=C1OCC(=O)O)I,74658,9:4|10:2|63:1|42:1|25:1
OZQAPQSEYFAMCY-UHFFFAOYSA-N,CC1=CCCC2(C1CC(CC2)C(=C)C)C,10123,1:3|2:5|3:2|4:1|7:1|8:1
LCEIGNVIDJNUGF-UHFFFAOYSA-N,C1=CC(=C(C=C1Cl)CO)Cl,118604,9:3|12:1|53:2|14:1
GCNKJQRMNYNDBI-UHFFFAOYSA-N,CCC(CO)(COC(=O)C(=C)C)COC(=O)C(=C)C,88215,1:3|2:4|4:1|7:2|77:2|14:1
